64
#x	y	position for each electrode
0.00	0.00
0.25	0.00
0.50	0.00
0.75	0.00
1.00	0.00
1.25	0.00
1.50	0.00
1.75	0.00
2.00	0.00
2.25	0.00
2.50	0.00
2.75	0.00
3.00	0.00
3.25	0.00
3.50	0.00
3.75	0.00
4.00	0.00
4.25	0.00
4.50	0.00
4.75	0.00
5.00	0.00
5.25	0.00
5.50	0.00
5.75	0.00
6.00	0.00
6.25	0.00
6.50	0.00
6.75	0.00
7.00	0.00
7.25	0.00
7.50	0.00
7.75	0.00
8.00	0.00
8.25	0.00
8.50	0.00
8.75	0.00
9.00	0.00
9.25	0.00
9.50	0.00
9.75	0.00
10.00	0.00
10.25	0.00
10.50	0.00
10.75	0.00
11.00	0.00
11.25	0.00
11.50	0.00
11.75	0.00
12.00	0.00
12.25	0.00
12.50	0.00
12.75	0.00
13.00	0.00
13.25	0.00
13.50	0.00
13.75	0.00
14.00	0.00
14.25	0.00
14.50	0.00
14.75	0.00
15.00	0.00
15.25	0.00
15.50	0.00
15.75	0.00
2693
#a	b	m	n	rho	err/%
7	34	19	22	2.226240	1.085935
24	60	28	32	2.748240	0.911843
32	41	33	34	8.810950	0.400959
27	36	28	29	7.855740	0.429118
27	36	33	34	3.510310	0.750657
24	60	36	40	0.948856	2.319843
25	34	28	29	1.959300	1.210810
25	34	29	30	2.019080	1.179975
25	43	29	31	1.942430	1.219855
25	43	35	37	1.166140	1.919151
25	43	37	39	1.572420	1.467046
5	32	14	17	2.836780	0.888670
26	44	40	42	4.262230	0.648110
34	61	46	49	0.699024	3.088424
25	52	28	31	3.225030	0.802076
25	52	34	37	0.896657	2.445033
16	43	19	22	21.799200	0.262977
25	52	37	40	0.950523	2.316072
25	52	43	46	1.376520	1.651725
16	43	28	31	0.906549	2.420202
25	52	46	49	2.155670	1.115940
27	45	33	35	1.131800	1.972242
32	59	50	53	1.452800	1.573893
9	18	16	17	31.590900	0.233964
25	61	45	49	0.877600	2.494449
25	61	49	53	0.994809	2.220507
31	49	33	35	4.309990	0.642805
25	61	53	57	1.791480	1.308368
23	59	35	39	0.842837	2.590347
26	35	27	28	7.518830	0.440757
26	35	32	33	3.783120	0.708739
27	36	30	31	1.922260	1.230877
26	35	29	30	2.314100	1.051136
3	57	33	39	0.652473	3.296685
26	35	31	32	2.114980	1.134151
26	44	28	30	4.413810	0.631669
3	12	7	8	10.915200	0.356313
26	44	36	38	1.180570	1.897764
27	45	39	41	2.527670	0.976633
26	44	38	40	2.171190	1.109174
6	51	31	36	0.719736	3.004421
26	53	32	35	1.372840	1.655698
26	53	35	38	0.970580	2.271710
35	62	56	59	2.708610	0.922707
26	53	38	41	0.951222	2.314494
26	53	41	44	0.849818	2.570459
26	53	44	47	1.392280	1.634945
10	64	52	58	1.872070	1.259336
11	56	41	46	1.028510	2.153298
14	32	28	30	4.917590	0.584310
26	62	30	34	2.450150	1.002174
26	62	34	38	1.143700	1.953483
10	19	13	14	11.628200	0.344851
26	62	42	46	0.817169	2.666392
10	19	17	18	45.008800	0.214709
26	62	46	50	0.660285	3.259685
41	59	53	55	1.694570	1.373505
26	62	50	54	1.197710	1.873030
32	41	34	35	3.018260	0.845421
27	36	29	30	3.685450	0.723033
27	36	34	35	8.664430	0.404875
7	34	25	28	1.195550	1.876108
27	36	31	32	1.749390	1.335772
4	58	34	40	0.715511	3.021162
27	36	32	33	2.427590	1.009913
27	45	29	31	4.707120	0.602863
27	45	31	33	1.764610	1.325712
27	45	35	37	1.046180	2.119789
56	57	62	63	-0.002469	223.682995
56	57	61	62	-0.003251	169.734347
56	57	60	61	-0.012276	44.568155
56	57	59	60	-0.016095	33.869472
56	57	63	64	-0.001333	414.806763
56	57	58	59	-0.060734	8.591065
55	56	61	62	-0.264316	1.570964
55	56	59	60	-0.945227	0.062312
55	56	58	59	-2.415020	0.294105
53	54	60	61	-0.111738	4.430700
53	54	59	60	-0.095602	5.266860
53	54	57	58	-0.578051	0.434301
51	52	58	59	-0.176581	2.611516
50	51	57	58	-0.429226	0.766335
50	51	56	57	-0.060324	8.652997
50	51	55	56	-4.428530	0.398320
50	51	53	54	-5.280130	0.418480
50	51	52	53	-1.990760	0.245256
49	50	56	57	-0.010391	52.751495
49	50	55	56	-0.402816	0.850889
49	50	53	54	-0.434425	0.750901
48	50	62	64	-0.036712	14.555035
48	49	55	56	-0.268058	1.541729
48	49	50	51	-6.267160	0.434991
47	49	61	63	-0.045886	11.540318
47	49	57	59	-0.190139	2.387985
47	48	53	54	-0.185019	2.468549
47	48	51	52	-0.581163	0.429173
47	48	50	51	-2.590260	0.309612
47	48	49	50	-5.034710	0.413370
46	48	60	62	-0.057280	9.140581
46	48	56	58	-0.117860	4.173374
46	48	54	56	-0.292352	1.370127
46	48	52	54	-0.278011	1.467798
46	48	50	52	-3.956270	0.383399
46	47	50	51	-0.612148	0.380961
51	52	53	54	-47.635700	0.511696
46	47	53	54	-0.056933	9.199464
46	47	48	49	-3.575090	0.368481
45	47	59	61	-0.068935	7.506728
45	47	57	59	-0.128396	3.787970
45	47	55	57	-0.277990	1.467949
45	47	49	51	-2.828590	0.327618
45	46	50	51	-0.758915	0.206082
45	46	49	50	-0.686939	0.282507
45	47	53	55	-0.118835	4.134839
45	46	48	49	-1.795670	0.215046
44	46	56	58	-0.093146	5.419525
44	46	54	56	-0.190236	2.386500
44	46	52	54	-0.141129	3.398995
44	46	50	52	-1.219870	0.069537
44	46	48	50	-2.803780	0.325886
44	45	50	51	-0.139280	3.451065
44	45	49	50	-0.105417	4.727752
44	45	47	48	-0.718702	0.246894
43	45	55	57	-0.100480	4.985759
43	45	49	51	-0.493158	0.599147
43	44	50	51	-0.147424	3.231512
43	44	49	50	-0.100925	4.961468
43	44	48	49	-0.187653	2.426553
42	44	56	58	-0.044283	11.977037
42	43	49	50	-0.054994	9.542362
42	43	46	47	-0.206191	2.161339
41	43	49	51	-0.244966	1.736392
41	43	47	49	-0.526639	0.527786
41	42	48	49	-0.063352	8.214443
41	42	47	48	-0.140300	3.422171
41	42	46	47	-0.115582	4.265941
40	43	61	64	-0.031530	17.033263
40	43	55	58	-0.143948	3.322183
40	43	52	55	-0.041659	12.764534
40	43	49	52	-0.436929	0.743598
40	42	50	52	-0.183124	2.499509
40	42	48	50	-0.186149	2.450387
40	43	46	49	-1.091220	0.016039
40	42	46	48	-0.447860	0.712677
40	42	52	54	-0.030067	17.887052
40	41	47	48	-0.108883	4.560598
40	41	46	47	-0.082996	6.146305
40	41	42	43	-5.251940	0.417917
39	42	54	57	-0.093396	5.403605
39	42	51	54	-0.146619	3.252128
39	42	48	51	-0.470228	0.653882
39	42	45	48	-2.530090	0.304529
39	41	51	53	-0.071489	7.219860
39	41	49	51	-0.195692	2.305373
39	41	47	49	-0.329003	1.159197
44	45	51	52	-0.056059	9.351189
44	45	46	47	-1.281670	0.091418
39	40	46	47	-0.079730	6.419523
39	40	44	45	-0.327014	1.169430
38	41	53	56	-0.108148	4.595150
38	41	50	53	-0.237203	1.810347
43	45	53	55	-0.036723	14.550313
38	40	48	50	-0.124447	3.924777
37	40	58	61	-0.046779	11.309975
37	40	55	58	-0.112502	4.397057
37	40	52	55	-0.026171	20.628193
37	40	43	46	-2.541560	0.305517
37	40	49	52	-0.255359	1.644423
37	39	49	51	-0.080976	6.312700
42	44	52	54	-0.048248	10.949643
42	43	47	48	-0.227276	1.912277
37	39	47	49	-0.115038	4.288588
42	43	45	46	-2.058670	0.254429
37	39	45	47	-0.305942	1.286019
37	39	43	45	-0.543415	0.495337
37	38	43	44	-0.177659	2.592495
37	38	41	42	-0.433056	0.754929
46	48	58	60	-0.061661	8.454041
37	38	40	41	-1.136400	0.036207
36	39	54	57	-0.044778	11.838769
36	39	51	54	-0.063326	8.217948
36	39	48	51	-0.164350	2.844812
36	39	45	48	-0.497557	0.589223
36	38	50	52	-0.077702	6.600739
41	43	51	53	-0.077853	6.586903
36	38	46	48	-0.106766	4.661404
36	39	42	45	-1.364370	0.117597
36	38	42	44	-0.630536	0.354590
36	37	42	43	-0.116229	4.239281
36	38	40	42	-2.143600	0.265082
36	37	40	41	-0.391893	0.889191
41	42	43	44	-5.260250	0.418084
36	37	43	44	-0.091521	5.525017
36	37	38	39	-3.580090	0.368697
35	38	53	56	-0.058791	8.892289
35	38	50	53	-0.112795	4.384276
35	38	44	47	-0.479778	0.630450
35	38	41	44	-1.557450	0.167895
35	37	49	51	-0.059131	8.838213
35	38	47	50	-0.171305	2.708065
35	37	47	49	-0.076269	6.734534
35	37	45	47	-0.174391	2.650883
35	37	39	41	-3.520640	0.366086
35	37	41	43	-0.532422	0.516370
35	36	41	42	-0.139341	3.449325
35	36	39	40	-1.031330	0.013419
35	37	43	45	-0.246189	1.725167
35	36	38	39	-1.405740	0.129537
35	36	42	43	-0.093639	5.388249
35	36	37	38	-7.718860	0.451603
34	37	52	55	-0.012487	43.806586
34	37	49	52	-0.113715	4.344572
34	37	46	49	-0.144266	3.313706
34	36	48	50	-0.039478	13.498537
34	37	43	46	-0.505483	0.571778
34	36	38	40	-3.303190	0.355736
34	36	44	46	-0.171852	2.697780
34	35	39	40	-0.428987	0.767053
33	36	51	54	-0.043629	12.164477
33	36	48	51	-0.102809	4.860958
33	36	45	48	-0.242967	1.754984
33	35	39	41	-0.922665	0.076632
33	34	40	41	-0.094587	5.328982
33	34	38	39	-0.223585	1.952484
32	36	60	64	-0.036241	14.750958
32	36	44	48	-0.397069	0.870778
32	35	50	53	-0.071065	7.266113
32	34	38	40	-0.825606	0.147163
32	33	39	40	-0.193208	2.341740
32	33	36	37	-0.666317	0.307447
31	35	59	63	-0.035019	15.284007
31	35	43	47	-0.395308	0.876989
31	34	49	52	-0.078939	6.489040
31	34	43	46	-0.244883	1.737158
31	34	40	43	-0.455716	0.691369
31	32	38	39	-0.081312	6.284435
31	32	37	38	-0.196098	2.299516
30	34	58	62	-0.032962	16.270322
30	34	54	58	-0.054468	9.639604
30	34	50	54	-0.089579	5.656201
30	34	46	50	-0.127656	3.812961
30	34	42	46	-0.412600	0.818302
30	34	38	42	-1.560940	0.168689
30	33	51	54	-0.030774	17.464216
30	33	48	51	-0.067073	7.729636
30	33	45	48	-0.135480	3.562540
39	42	57	60	-0.081953	6.231172
30	33	39	42	-0.644167	0.336013
30	32	44	46	-0.066548	7.794793
30	32	40	42	-0.133726	3.616132
30	32	38	40	-0.327753	1.165613
30	33	36	39	-2.092750	0.258807
30	32	36	38	-0.766299	0.199054
30	32	34	36	-2.685130	0.317162
30	32	42	44	-0.083063	6.140885
30	31	37	38	-0.113148	4.368965
30	31	36	37	-0.156505	3.013643
30	31	34	35	-0.494487	0.596130
30	31	32	33	-5.885130	0.429257
29	33	57	61	-0.044072	12.036941
29	33	53	57	-0.042439	12.520187
29	33	45	49	-0.193793	2.333092
29	32	44	47	-0.111080	4.460046
29	33	41	45	-0.355895	1.032063
29	32	41	44	-0.190452	2.383200
38	41	56	59	-0.060152	8.679159
29	32	38	41	-0.546208	0.490129
29	31	43	45	-0.051868	10.148983
29	31	41	43	-0.077473	6.621797
29	31	39	41	-0.206973	2.151196
29	31	37	39	-0.294427	1.356782
29	31	35	37	-0.715438	0.250408
29	30	35	36	-0.176199	2.618313
28	32	56	60	-0.029461	18.266123
28	32	52	56	-0.036363	14.699628
28	32	48	52	-0.091624	5.518250
28	32	44	48	-0.169055	2.751073
28	32	40	44	-0.358111	1.022438
28	32	36	40	-1.586890	0.174489
28	31	49	52	-0.049770	10.598973
20	24	32	36	-0.346744	1.073112
12	16	24	28	-0.480713	0.628206
16	21	31	36	-0.478037	0.634652
12	15	33	36	-0.044560	11.899303
16	18	26	28	-0.269318	1.532067
21	23	31	33	-0.115607	4.264905
11	14	32	35	-0.051404	10.245275
4	5	8	9	-2.469490	0.299160
12	15	27	30	-0.124995	3.905276
20	23	32	35	-0.192509	2.352143
17	21	29	33	-0.620476	0.368824
32	35	53	56	-0.039076	13.642753
8	13	33	38	-0.096452	5.215816
20	22	26	28	-0.754180	0.210662
16	17	19	20	-7.142370	0.445814
21	22	24	25	-1.232210	0.074082
38	41	44	47	-2.207370	0.272542
12	14	20	22	-2.249360	0.277224
16	17	21	22	-1.871690	0.227567
20	21	24	25	-0.632087	0.352436
9	15	27	33	-0.344933	1.081493
20	21	23	24	-1.519600	0.159042
20	21	22	23	-4.061780	0.387034
12	13	14	15	-11.958100	0.477026
11	17	41	47	-0.077646	6.605840
24	28	32	36	-1.221770	0.070243
11	17	29	35	-0.343679	1.087349
14	19	24	29	-1.920120	0.235026
11	17	23	29	-1.468280	0.146310
38	39	43	44	-0.210232	2.109736
21	25	37	41	-0.144775	3.300216
11	16	31	36	-0.161604	2.902044
15	18	33	36	-0.092632	5.452494
19	23	35	39	-0.169345	2.745466
25	27	29	31	-2.816050	0.326746
19	20	22	23	-1.705720	0.198790
10	15	40	45	-0.049505	10.658421
34	37	55	58	-0.060073	8.691292
10	15	35	40	-0.094645	5.325371
43	44	45	46	-9.269160	0.463597
38	39	45	46	-0.127496	3.818403
6	12	42	48	-0.063756	8.158966
34	37	40	43	-1.461640	0.144597
34	36	40	42	-0.622584	0.365803
10	15	20	25	-6.287120	0.435271
8	15	22	29	-1.244670	0.078579
10	14	38	42	-0.045375	11.676202
10	14	34	38	-0.062606	8.318462
6	11	41	46	-0.047993	11.010769
2	9	23	30	-0.382886	0.922419
1	7	31	37	-0.113964	4.333936
23	28	58	63	-0.023970	22.569732
10	14	18	22	-10.836600	0.472235
10	13	25	28	-0.131441	3.688093
10	13	19	22	-3.983200	0.384345
41	43	55	57	-0.068502	7.557450
14	19	49	54	-0.041789	12.722975
23	27	47	51	-0.045593	11.617764
34	35	41	42	-0.076582	6.704918
34	35	36	37	-5.375060	0.420331
29	30	36	37	-0.112500	4.397145
10	13	16	19	-12.642200	0.479531
27	30	42	45	-0.094941	5.307161
38	40	44	46	-0.992871	0.034210
38	39	44	45	-0.080450	6.357378
6	13	41	48	-0.087111	5.831249
34	35	37	38	-1.661580	0.190169
10	13	22	25	-0.303417	1.301077
10	12	22	24	-0.144458	3.308606
12	15	30	33	-0.071310	7.239264
10	12	16	18	-5.662180	0.425554
23	26	44	47	-0.034169	15.677097
28	30	40	42	-0.084230	6.048561
3	6	9	12	-13.962400	0.483671
29	33	37	41	-1.736590	0.204559
10	11	17	18	-0.919618	0.078620
36	38	44	46	-0.318762	1.213251
14	20	38	44	-0.180678	2.540432
10	11	16	17	-0.901582	0.090662
3	9	39	45	-0.075009	6.856539
10	11	15	16	-1.423830	0.134540
23	25	37	39	-0.044152	12.014013
10	15	25	30	-0.388126	0.902900
10	11	13	14	-4.639920	0.404015
13	19	31	37	-0.384625	0.915882
10	11	12	13	-10.384500	0.470011
23	25	35	37	-0.070074	7.376217
9	14	39	44	-0.065438	7.935878
33	36	54	57	-0.033414	16.043299
9	14	34	39	-0.088693	5.717875
42	43	44	45	-3.981640	0.384291
37	38	44	45	-0.074556	6.901280
37	38	39	40	-8.738350	0.459969
5	11	41	47	-0.065380	7.943408
9	14	29	34	-0.179487	2.560761
9	14	24	29	-0.406222	0.839367
33	36	39	42	-2.498270	0.301743
9	14	19	24	-7.820450	0.452534
33	35	45	47	-0.103727	4.813307
9	13	25	29	-0.205053	2.176239
26	30	42	46	-0.169187	2.748518
9	13	17	21	-12.415100	0.478730
33	34	39	40	-0.263269	1.579293
9	12	24	27	-0.148860	3.195291
33	34	36	37	-1.443510	0.139840
9	12	21	24	-0.717486	0.248199
13	18	48	53	-0.042167	12.604262
29	32	35	38	-2.000420	0.246599
16	22	52	58	-0.046670	11.337663
20	25	45	50	-0.068721	7.531769
9	11	17	19	-2.558150	0.306929
22	25	43	46	-0.035354	15.134045
31	33	41	43	-0.139671	3.439939
26	28	36	38	-0.137582	3.500116
9	10	15	16	-1.087580	0.014341
9	10	14	15	-1.592210	0.175654
11	13	19	21	-2.646110	0.314122
9	10	13	14	-2.866470	0.330204
9	11	21	23	-0.318394	1.215259
8	15	29	36	-0.312808	1.246305
15	16	18	19	-6.150570	0.433317
45	46	52	53	-0.017039	31.964032
45	46	47	48	-9.334490	0.464015
8	14	44	50	-0.054336	9.664256
11	14	26	29	-0.131451	3.687773
11	15	31	35	-0.101005	4.957124
16	21	36	41	-0.225231	1.934391
19	22	31	34	-0.257277	1.628263
19	23	31	35	-0.388615	0.901106
32	36	52	56	-0.059597	8.764857
8	14	32	38	-0.158171	2.976389
8	14	26	32	-0.355044	1.035791
11	12	17	18	-1.877510	0.228484
32	35	38	41	-1.996790	0.246096
8	13	18	23	-8.463720	0.457914
8	12	28	32	-0.120877	4.056148
43	45	57	59	-0.056034	9.355612
21	26	56	61	-0.023415	23.117897
25	29	45	49	-0.085979	5.914898
25	28	43	46	-0.064397	8.072624
18	23	33	38	-0.347797	1.068278
32	33	34	35	-5.128400	0.415378
27	28	29	30	-6.421150	0.437109
27	28	34	35	-0.077029	6.662982
8	11	14	17	-10.279500	0.469467
42	44	54	56	-0.081698	6.252229
5	8	20	23	-0.610001	0.384144
11	13	21	23	-0.625890	0.361107
8	10	22	24	-0.089752	5.644248
8	10	16	18	-2.527580	0.304312
3	6	15	18	-1.746080	0.206291
2	4	16	18	-0.411123	0.823122
2	4	14	16	-0.555135	0.473832
7	14	56	63	-0.038347	13.911871
53	54	58	59	-0.139563	3.443006
7	13	37	43	-0.095217	5.290248
10	16	28	34	-0.338514	1.111924
13	14	19	20	-1.309170	0.100490
31	35	51	55	-0.045880	11.541895
31	34	46	49	-0.088150	5.756314
22	25	28	31	-1.577530	0.172419
26	30	46	50	-0.065178	7.969609
7	13	31	37	-0.161060	2.913613
4	6	18	20	-0.455401	0.692210
5	9	13	17	-10.168800	0.468880
4	7	16	19	-1.764380	0.209579
7	12	37	42	-0.070798	7.295423
10	15	45	50	-0.039642	13.440422
7	11	35	39	-0.047245	11.193258
5	8	11	14	-12.502900	0.479043
25	29	49	53	-0.045868	11.545026
10	16	52	58	-0.028752	18.729190
31	35	39	43	-1.725100	0.202436
7	13	19	25	-6.095260	0.432500
7	11	31	35	-0.072657	7.095342
38	40	50	52	-0.143939	3.322423
9	10	11	12	-17.199100	0.491132
24	28	52	56	-0.020479	26.506774
10	16	40	46	-0.081686	6.253283
46	47	51	52	-0.172460	2.686424
24	28	40	44	-0.131188	3.696215
18	19	24	25	-0.265475	1.561821
7	10	22	25	-0.164743	2.836777
7	10	13	16	-11.292600	0.474298
48	50	56	58	-0.171548	2.703488
6	8	16	18	-1.305280	0.099230
13	19	37	43	-0.175637	2.628365
3	7	23	27	-0.140605	3.413612
12	17	42	47	-0.052893	9.942247
10	11	14	15	-2.284430	0.281002
7	9	19	21	-0.765367	0.199934
7	9	13	15	-4.525420	0.400996
1	3	15	17	-0.308715	1.269767
11	14	23	26	-0.293979	1.359647
7	9	11	13	-13.914000	0.483533
12	16	32	36	-0.098148	5.116626
1	3	9	11	-1.997010	0.246126
12	17	32	37	-0.160107	2.934071
12	13	16	17	-2.441660	0.296605
16	22	34	40	-0.393324	0.884052
7	11	27	31	-0.120062	4.087234
12	17	22	27	-1.848360	0.223834
9	12	18	21	-4.338230	0.395718
15	20	50	55	-0.036872	14.489605
2	7	12	17	-8.084770	0.454848
7	8	9	10	-19.940600	0.495557
29	32	50	53	-0.046307	11.430667
3	4	9	10	-1.372530	0.120009
11	13	25	27	-0.070804	7.294772
19	21	25	27	-0.939400	0.065944
6	13	55	62	-0.051344	10.257985
47	49	51	53	-1.518550	0.158790
6	13	20	27	-3.834330	0.378949
9	15	39	45	-0.087412	5.809360
6	12	30	36	-0.172424	2.687094
39	40	42	43	-1.791940	0.214405
26	30	54	58	-0.034073	15.722550
6	12	24	30	-0.393131	0.884743
6	12	18	24	-7.037890	0.444664
47	49	55	57	-0.515513	0.550472
6	13	34	41	-0.157290	2.995991
13	14	18	19	-1.770130	0.210598
6	11	26	31	-0.194691	2.319917
9	14	44	49	-0.041281	12.886144
3	6	21	24	-0.181014	2.534745
11	15	19	23	-10.247400	0.469298
3	5	17	19	-0.437274	0.742599
11	14	20	23	-3.241330	0.352537
6	11	36	41	-0.072172	7.146614
6	12	36	42	-0.101941	4.906804
2	9	16	23	-6.634080	0.439876
35	38	56	59	-0.035867	14.910144
26	29	38	41	-0.206023	2.163529
1	7	19	25	-1.300320	0.097612
13	19	55	61	-0.053024	9.916371
8	13	23	28	-0.443008	0.726214
32	34	40	42	-0.273721	1.499005
8	12	20	24	-2.157050	0.266692
4	6	12	14	-2.141790	0.264864
43	45	51	53	-0.129636	3.746731
38	40	46	48	-0.251751	1.675491
3	4	6	7	-8.855000	0.460804
3	4	8	9	-2.082820	0.257546
1	3	5	7	-20.756800	0.496648
11	14	17	20	-14.583200	0.485359
11	13	17	19	-5.948170	0.430254
7	8	10	11	-5.546020	0.423506
3	5	15	17	-0.551904	0.479669
37	38	42	43	-0.244635	1.739450
24	29	54	59	-0.038445	13.875187
10	16	22	28	-1.474240	0.147834
3	4	5	6	-32.526200	0.506298
1	2	6	7	-2.482360	0.300323
4	8	20	24	-0.751547	0.213233
3	6	12	15	-3.632830	0.370942
8	15	57	64	-0.041403	12.846502
3	7	31	35	-0.060670	8.600740
15	19	27	31	-0.612704	0.380141
19	24	29	34	-1.185290	0.056299
12	14	22	24	-0.225750	1.928741
12	13	17	18	-2.159430	0.266975
7	8	13	14	-1.083720	0.012528
13	17	37	41	-0.068570	7.549519
3	7	19	23	-0.991807	0.034808
8	14	38	44	-0.089983	5.628402
8	10	20	22	-0.669890	0.303016
3	10	38	45	-0.102905	4.855935
2	8	20	26	-1.019930	0.019418
32	33	35	36	-1.503490	0.155139
27	29	35	37	-0.256970	1.630833
3	10	17	24	-6.759560	0.441425
2	8	14	20	-7.642670	0.450888
22	26	46	50	-0.030644	17.540523
26	29	44	47	-0.059677	8.752437
19	21	23	25	-3.490510	0.364729
11	13	15	17	-12.701600	0.479735
12	13	15	16	-4.864190	0.409515
7	8	11	12	-3.311800	0.356171
39	41	43	45	-3.510420	0.365628
17	22	37	42	-0.210589	2.105272
3	4	10	11	-0.753608	0.211219
3	6	24	27	-0.069176	7.478752
19	23	27	31	-1.455580	0.143020
22	23	29	30	-0.081028	6.308262
2	7	17	22	-2.516350	0.303335
20	24	28	32	-1.314820	0.102307
6	7	9	10	-6.598380	0.439425
27	28	33	34	-0.135376	3.565679
3	9	15	21	-8.188710	0.455717
8	15	50	57	-0.050967	10.337628
15	21	39	45	-0.190449	2.383246
46	47	49	50	-0.770583	0.195038
24	28	48	52	-0.048358	10.923687
9	15	51	57	-0.029678	18.128486
2	5	11	14	-3.218320	0.351316
48	50	54	56	-0.532890	0.515457
7	14	28	35	-0.324803	1.180953
14	15	17	18	-7.471190	0.449225
15	16	20	21	-2.575180	0.308360
1	5	17	21	-1.105280	0.022492
1	4	19	22	-0.359256	1.017512
11	12	13	14	-18.931500	0.494077
9	12	30	33	-0.058336	8.965711
2	8	26	32	-0.194500	2.322709
32	34	42	44	-0.151657	3.126709
32	33	37	38	-0.379924	0.933690
27	29	37	39	-0.132778	3.645687
8	11	17	20	-4.329230	0.395453
3	10	24	31	-0.381093	0.929221
14	18	26	30	-0.607425	0.387992
3	7	27	31	-0.091296	5.539976
12	13	19	20	-0.774182	0.191699
2	9	30	37	-0.176053	2.620918
31	33	39	41	-0.432641	0.756155
7	11	19	23	-2.557920	0.306910
1	7	25	31	-0.195527	2.307760
2	6	26	30	-0.087336	5.814871
3	8	23	28	-0.219384	1.999893
19	20	26	27	-0.159462	2.948055
24	25	26	27	-4.049900	0.386634
24	25	31	32	-0.074570	6.899916
1	3	13	15	-0.523584	0.533919
1	4	13	16	-1.358260	0.115772
4	10	28	34	-0.195339	2.310485
1	4	10	13	-3.472160	0.363891
6	9	27	30	-0.063398	8.208117
29	31	33	35	-2.741590	0.321408
2	8	38	44	-0.074269	6.930011
27	29	33	35	-0.591388	0.412705
9	10	16	17	-0.722778	0.242550
8	11	29	32	-0.058325	8.967484
4	5	10	11	-0.775203	0.190757
27	31	39	43	-0.439505	0.736173
12	14	18	20	-4.857120	0.409350
7	8	14	15	-0.685577	0.284108
5	12	54	61	-0.048726	10.837094
13	16	19	22	-14.205000	0.484348
22	25	37	40	-0.092931	5.433293
10	14	30	34	-0.105088	4.744192
10	15	30	35	-0.160451	2.926658
5	7	9	11	-15.806800	0.488297
4	5	7	8	-4.878650	0.409853
23	24	29	30	-0.165258	2.826306
2	5	17	20	-0.740746	0.223973
1	2	8	9	-0.872370	0.111221
9	11	19	21	-1.273980	0.088811
3	7	15	19	-3.141310	0.347100
2	5	23	26	-0.056464	9.280257
48	49	51	52	-0.880692	0.105225
6	7	11	12	-1.881970	0.229182
7	13	25	31	-0.365532	0.991057
3	10	52	59	-0.040532	13.133673
1	4	7	10	-12.937200	0.480529
51	52	57	58	-1.052180	0.002783
2	5	14	17	-1.203800	0.063480
2	6	14	18	-2.937000	0.334841
8	15	36	43	-0.143129	3.344187
19	21	27	29	-0.412319	0.819216
12	14	16	18	-13.827400	0.483284
7	8	12	13	-1.442830	0.139660
5	6	7	8	-22.981500	0.499230
9	10	12	13	-4.693830	0.405385
3	7	11	15	-10.557600	0.470885
15	17	21	23	-3.448700	0.362806
15	16	21	22	-1.097520	0.018951
1	5	9	13	-9.343410	0.464072
9	11	23	25	-0.082485	6.187624
1	3	7	9	-4.649620	0.404264
17	19	23	25	-1.462600	0.144846
10	13	28	31	-0.081032	6.307984
3	4	7	8	-3.566920	0.368126
4	10	40	46	-0.071387	7.230902
16	17	18	19	-14.787800	0.485884
16	17	23	24	-0.196676	2.291221
21	22	23	24	-4.567340	0.402119
2	3	9	10	-0.647930	0.331022
5	7	13	15	-2.336910	0.286443
32	36	56	60	-0.045838	11.552845
8	10	18	20	-1.260040	0.084004
2	7	22	27	-0.208273	2.134502
1	5	25	29	-0.074203	6.936660
5	12	40	47	-0.095339	5.282796
7	12	27	32	-0.193954	2.330720
4	8	12	16	-9.475910	0.464900
21	24	30	33	-0.387941	0.903580
10	12	14	16	-13.576600	0.482544
12	16	28	32	-0.190380	2.384299
7	10	19	22	-1.648420	0.187509
2	6	18	22	-1.103050	0.021479
11	15	39	43	-0.046597	11.356219
5	10	25	30	-0.214602	2.056118
19	23	39	43	-0.106842	4.657716
2	9	44	51	-0.073563	7.001511
2	3	4	5	-15.802500	0.488287
4	8	28	32	-0.086917	5.845432
9	13	29	33	-0.115979	4.249547
44	46	58	60	-0.053725	9.780116
35	36	40	41	-0.270669	1.521808
22	27	57	62	-0.026707	20.203919
3	8	18	23	-2.113520	0.261407
18	19	23	24	-0.514556	0.552469
7	14	49	56	-0.056438	9.284773
11	15	23	27	-0.531268	0.518628
40	43	58	61	-0.054047	9.718712
15	18	21	24	-9.486920	0.464968
9	15	45	51	-0.062254	8.368441
42	44	50	52	-0.340940	1.100288
5	12	47	54	-0.063553	8.186739
7	9	21	23	-0.201176	2.228264
7	10	16	19	-4.180270	0.390897
3	9	27	33	-0.199613	2.249809
10	12	24	26	-0.077910	6.581747
10	16	34	40	-0.148141	3.213339
6	11	16	21	-9.454420	0.464767
12	18	48	54	-0.052329	10.055025
25	29	33	37	-1.206910	0.064665
6	10	26	30	-0.127913	3.804249
2	9	37	44	-0.107533	4.624423
6	10	14	18	-10.259000	0.469359
26	29	35	38	-0.448139	0.711907
2	8	32	38	-0.113239	4.365034
2	7	32	37	-0.078051	6.568866
2	4	12	14	-0.962945	0.051536
5	11	29	35	-0.187979	2.421437
8	9	10	11	-15.807400	0.488298
2	8	44	50	-0.049576	10.642497
33	35	37	39	-2.998230	0.338690
33	34	37	38	-0.673260	0.298880
11	16	36	41	-0.094511	5.333712
28	30	42	44	-0.056854	9.213128
31	33	45	47	-0.076966	6.668798
