64
#x	y	position for each electrode
0.00	0.00
0.25	0.00
0.50	0.00
0.75	0.00
1.00	0.00
1.25	0.00
1.50	0.00
1.75	0.00
2.00	0.00
2.25	0.00
2.50	0.00
2.75	0.00
3.00	0.00
3.25	0.00
3.50	0.00
3.75	0.00
4.00	0.00
4.25	0.00
4.50	0.00
4.75	0.00
5.00	0.00
5.25	0.00
5.50	0.00
5.75	0.00
6.00	0.00
6.25	0.00
6.50	0.00
6.75	0.00
7.00	0.00
7.25	0.00
7.50	0.00
7.75	0.00
8.00	0.00
8.25	0.00
8.50	0.00
8.75	0.00
9.00	0.00
9.25	0.00
9.50	0.00
9.75	0.00
10.00	0.00
10.25	0.00
10.50	0.00
10.75	0.00
11.00	0.00
11.25	0.00
11.50	0.00
11.75	0.00
12.00	0.00
12.25	0.00
12.50	0.00
12.75	0.00
13.00	0.00
13.25	0.00
13.50	0.00
13.75	0.00
14.00	0.00
14.25	0.00
14.50	0.00
14.75	0.00
15.00	0.00
15.25	0.00
15.50	0.00
15.75	0.00
2693
#a	b	m	n	rho	err/%
33	51	35	37	4.771620	0.597003
33	42	40	41	8.964310	0.396997
33	42	37	38	1.993870	1.192753
32	59	53	56	3.606500	0.735154
32	59	44	47	0.850325	2.569028
32	59	38	41	1.512180	1.518741
32	50	46	48	5.181240	0.563195
32	50	44	46	2.367200	1.031356
32	50	40	42	0.970385	2.272133
32	50	36	38	1.918170	1.233140
32	41	38	39	2.015160	1.181941
32	41	37	38	2.042550	1.168363
32	41	35	36	2.078160	1.151245
31	58	52	55	1.955390	1.212892
31	58	49	52	1.861290	1.265649
31	58	43	46	0.964599	2.284746
31	58	37	40	1.557170	1.479754
31	58	34	37	2.980850	0.853905
55	64	62	63	9.114750	0.393240
55	64	57	58	6.438400	0.486298
50	59	57	58	10.321000	0.367076
31	49	45	47	4.441380	0.628799
50	59	53	54	2.553280	0.968536
31	49	41	43	0.958677	2.297813
31	49	39	41	1.343810	1.687807
50	59	52	53	0.115731	17.800658
31	49	35	37	1.766620	1.324396
31	40	38	39	4.564290	0.616428
31	40	37	38	2.979250	0.854273
31	40	36	37	1.707410	1.364450
